LGA,hhsize,totalvehs,hhinc,hhsize_normalised,totalvehs_normalised,hhinc_normalised,dwelltype_Flat or Apartment,dwelltype_Other,dwelltype_Separate House,dwelltype_Terrace/Townhouse,owndwell_Being Purchased,owndwell_Being Rented,owndwell_Fully Owned,owndwell_Occupied Rent-Free,owndwell_Something Else,label
Boroondara,1.0,1.0,450.0,0.0,0.25,0.1131131131131131,0,1,0,0,0,1,0,0,0,1
GreaterGeelong,6.0,4.0,100.0,1.0,1.0,0.0315315315315315,0,0,1,0,1,0,0,0,0,4
Maroondah,1.0,1.0,2750.0,0.0,0.25,0.7912912912912913,0,0,1,0,1,0,0,0,0,6
Boroondara,4.0,0.0,6000.0,0.6,0.0,1.0,0,0,1,0,1,0,0,0,0,3
Melton,1.0,1.0,1500.0,0.0,0.25,0.4954954954954955,0,0,1,0,1,0,0,0,0,5
Brimbank,2.0,0.0,2948.0,0.2,0.0,0.8156956956956958,0,0,1,0,0,0,1,0,0,6
Wyndham,3.0,1.0,5850.0,0.4,0.25,0.9853853853853852,0,0,1,0,0,0,1,0,0,3
Monash,1.0,1.0,350.0,0.0,0.25,0.0845845845845846,0,0,0,1,0,1,0,0,0,1
Stonnington,4.0,4.0,5350.0,0.6,1.0,0.981981981981982,0,0,1,0,0,1,0,0,0,0
Boroondara,1.0,1.0,1825.0,0.0,0.25,0.592092092092092,1,0,0,0,0,1,0,0,0,1
Manningham,2.0,1.0,500.0,0.2,0.25,0.1506506506506506,0,0,0,1,0,1,0,0,0,1
Whittlesea,2.0,1.0,1375.0,0.2,0.25,0.4514514514514514,0,0,1,0,1,0,0,0,0,5
PortPhillip,1.0,1.0,350.0,0.0,0.25,0.0845845845845846,1,0,0,0,0,0,1,0,0,2
Knox,2.0,1.0,6000.0,0.2,0.25,1.0,0,0,1,0,0,0,1,0,0,6
Melton,5.0,4.0,6000.0,0.8,1.0,1.0,0,0,1,0,0,1,0,0,0,0
Whitehorse,2.0,1.0,1850.0,0.2,0.25,0.602102102102102,0,0,1,0,0,0,1,0,0,5
Boroondara,3.0,0.0,5000.0,0.4,0.0,0.9664664664664664,0,0,1,0,0,0,1,0,0,3
Wyndham,4.0,2.0,350.0,0.6,0.5,0.0845845845845846,0,0,1,0,1,0,0,0,0,4
YarraRanges,4.0,2.0,575.0,0.6,0.5,0.1856856856856856,0,0,1,0,1,0,0,0,0,4
Maroondah,4.0,3.0,1625.0,0.6,0.75,0.5195195195195195,0,0,1,0,0,0,1,0,0,4
GreaterDandenong,1.0,3.0,900.0,0.0,0.75,0.3008008008008008,0,0,1,0,0,0,1,0,0,3
Nillumbik,2.0,0.0,600.0,0.2,0.0,0.1956956956956957,1,0,0,0,0,1,0,0,0,1
Hume,4.0,2.0,1800.0,0.6,0.5,0.5810810810810811,0,0,1,0,1,0,0,0,0,3
Stonnington,2.0,1.0,2375.0,0.2,0.25,0.6986986986986987,1,0,0,0,0,0,1,0,0,2
Maroondah,4.0,2.0,750.0,0.6,0.5,0.2632632632632632,0,0,1,0,0,0,1,0,0,4
Whittlesea,4.0,2.0,724.0,0.6,0.5,0.2492492492492492,0,0,1,0,1,0,0,0,0,4
Manningham,2.0,1.0,450.0,0.2,0.25,0.1131131131131131,1,0,0,0,0,0,1,0,0,2
GreaterGeelong,2.0,2.0,2500.0,0.2,0.5,0.7347347347347347,0,0,1,0,1,0,0,0,0,3
Whitehorse,2.0,1.0,1800.0,0.2,0.25,0.5810810810810811,0,0,1,0,0,0,1,0,0,5
Whitehorse,2.0,1.0,725.0,0.2,0.25,0.2557557557557557,0,0,1,0,0,0,1,0,0,5
Melbourne,3.0,1.0,1575.0,0.4,0.25,0.498998998998999,0,0,1,0,1,0,0,0,0,3
Melbourne,2.0,1.0,5250.0,0.2,0.25,0.9803273976246272,0,0,0,1,0,1,0,0,0,1
Maribyrnong,2.0,0.0,2250.0,0.2,0.0,0.6736736736736737,0,0,1,0,0,1,0,0,0,0
MorningtonPeninsula,3.0,1.0,1375.0,0.4,0.25,0.4514514514514514,0,0,1,0,1,0,0,0,0,3
Frankston,2.0,1.0,3575.0,0.2,0.25,0.8958365144805815,0,0,1,0,0,0,1,0,0,6
MooneeValley,4.0,3.0,5525.0,0.6,0.75,0.9836586220187978,0,0,1,0,0,0,1,0,0,3
GlenEira,1.0,1.0,4475.0,0.0,0.25,0.9494494494494494,1,0,0,0,1,0,0,0,0,2
Darebin,4.0,2.0,1850.0,0.6,0.5,0.602102102102102,0,0,1,0,1,0,0,0,0,3
Banyule,6.0,2.0,1600.0,1.0,0.5,0.504004004004004,0,0,1,0,1,0,0,0,0,4
GreaterGeelong,2.0,0.0,1750.0,0.2,0.0,0.5565565565565566,0,1,0,0,0,1,0,0,0,1
Stonnington,4.0,2.0,1875.0,0.6,0.5,0.6136136136136137,0,0,1,0,1,0,0,0,0,3
MorningtonPeninsula,4.0,1.0,5750.0,0.6,0.25,0.984984984984985,0,0,1,0,1,0,0,0,0,3
Frankston,4.0,2.0,3500.0,0.6,0.5,0.8833833833833833,0,0,1,0,1,0,0,0,0,3
GreaterDandenong,4.0,2.0,1625.0,0.6,0.5,0.5195195195195195,0,0,1,0,1,0,0,0,0,3
MooneeValley,2.0,1.0,3500.0,0.2,0.25,0.8833833833833833,0,0,1,0,1,0,0,0,0,6
Melton,2.0,0.0,2350.0,0.2,0.0,0.6961961961961962,0,0,1,0,0,0,1,0,0,6
PortPhillip,1.0,1.0,4250.0,0.0,0.25,0.937937937937938,0,0,0,1,1,0,0,0,0,2
GreaterGeelong,2.0,2.0,500.0,0.2,0.5,0.1506506506506506,1,0,0,0,1,0,0,0,0,2
